54.291241	55.245772	
58.480673	59.352281	
62.860827	63.766525	
67.335881	68.208410	
71.379738	72.328740	
75.126916	76.058413	
79.285943	80.135438	
82.987053	83.858661	
86.349102	87.172799	
89.668768	90.472196	
93.149673	93.893212	
96.362461	97.208272	
99.238953	100.208225	
102.562305	103.406272	
105.801813	106.621825	
108.805452	109.631913	
112.222783	113.033581	
115.168376	116.051041	
118.359052	119.150502	
121.485232	122.276682	
124.890585	125.712440	
127.962405	128.781496	
131.299578	132.103005	
134.657941	135.444784	
138.000642	138.921082	
141.357163	142.172568	
144.729347	145.505133	
147.889617	148.701337	
151.151238	151.979542	
154.430364	155.184960	
157.740817	158.528582	
160.668905	161.490760	
172.653979	173.474912	
176.268481	177.064537	
180.765647	181.628963	
